date,start_of_month,month_name,day_type
01-01-2024,01-01-2024,January,Weekday
02-01-2024,01-01-2024,January,Weekday
03-01-2024,01-01-2024,January,Weekday
04-01-2024,01-01-2024,January,Weekday
05-01-2024,01-01-2024,January,Weekday
06-01-2024,01-01-2024,January,Weekend
07-01-2024,01-01-2024,January,Weekend
08-01-2024,01-01-2024,January,Weekday
09-01-2024,01-01-2024,January,Weekday
10-01-2024,01-01-2024,January,Weekday
11-01-2024,01-01-2024,January,Weekday
12-01-2024,01-01-2024,January,Weekday
13-01-2024,01-01-2024,January,Weekend
14-01-2024,01-01-2024,January,Weekend
15-01-2024,01-01-2024,January,Weekday
16-01-2024,01-01-2024,January,Weekday
17-01-2024,01-01-2024,January,Weekday
18-01-2024,01-01-2024,January,Weekday
19-01-2024,01-01-2024,January,Weekday
20-01-2024,01-01-2024,January,Weekend
21-01-2024,01-01-2024,January,Weekend
22-01-2024,01-01-2024,January,Weekday
23-01-2024,01-01-2024,January,Weekday
24-01-2024,01-01-2024,January,Weekday
25-01-2024,01-01-2024,January,Weekday
26-01-2024,01-01-2024,January,Weekday
27-01-2024,01-01-2024,January,Weekend
28-01-2024,01-01-2024,January,Weekend
29-01-2024,01-01-2024,January,Weekday
30-01-2024,01-01-2024,January,Weekday
31-01-2024,01-01-2024,January,Weekday
01-02-2024,01-02-2024,February,Weekday
02-02-2024,01-02-2024,February,Weekday
03-02-2024,01-02-2024,February,Weekend
04-02-2024,01-02-2024,February,Weekend
05-02-2024,01-02-2024,February,Weekday
06-02-2024,01-02-2024,February,Weekday
07-02-2024,01-02-2024,February,Weekday
08-02-2024,01-02-2024,February,Weekday
09-02-2024,01-02-2024,February,Weekday
10-02-2024,01-02-2024,February,Weekend
11-02-2024,01-02-2024,February,Weekend
12-02-2024,01-02-2024,February,Weekday
13-02-2024,01-02-2024,February,Weekday
14-02-2024,01-02-2024,February,Weekday
15-02-2024,01-02-2024,February,Weekday
16-02-2024,01-02-2024,February,Weekday
17-02-2024,01-02-2024,February,Weekend
18-02-2024,01-02-2024,February,Weekend
19-02-2024,01-02-2024,February,Weekday
20-02-2024,01-02-2024,February,Weekday
21-02-2024,01-02-2024,February,Weekday
22-02-2024,01-02-2024,February,Weekday
23-02-2024,01-02-2024,February,Weekday
24-02-2024,01-02-2024,February,Weekend
25-02-2024,01-02-2024,February,Weekend
26-02-2024,01-02-2024,February,Weekday
27-02-2024,01-02-2024,February,Weekday
28-02-2024,01-02-2024,February,Weekday
29-02-2024,01-02-2024,February,Weekday
01-03-2024,01-03-2024,March,Weekday
02-03-2024,01-03-2024,March,Weekend
03-03-2024,01-03-2024,March,Weekend
04-03-2024,01-03-2024,March,Weekday
05-03-2024,01-03-2024,March,Weekday
06-03-2024,01-03-2024,March,Weekday
07-03-2024,01-03-2024,March,Weekday
08-03-2024,01-03-2024,March,Weekday
09-03-2024,01-03-2024,March,Weekend
10-03-2024,01-03-2024,March,Weekend
11-03-2024,01-03-2024,March,Weekday
12-03-2024,01-03-2024,March,Weekday
13-03-2024,01-03-2024,March,Weekday
14-03-2024,01-03-2024,March,Weekday
15-03-2024,01-03-2024,March,Weekday
16-03-2024,01-03-2024,March,Weekend
17-03-2024,01-03-2024,March,Weekend
18-03-2024,01-03-2024,March,Weekday
19-03-2024,01-03-2024,March,Weekday
20-03-2024,01-03-2024,March,Weekday
21-03-2024,01-03-2024,March,Weekday
22-03-2024,01-03-2024,March,Weekday
23-03-2024,01-03-2024,March,Weekend
24-03-2024,01-03-2024,March,Weekend
25-03-2024,01-03-2024,March,Weekday
26-03-2024,01-03-2024,March,Weekday
27-03-2024,01-03-2024,March,Weekday
28-03-2024,01-03-2024,March,Weekday
29-03-2024,01-03-2024,March,Weekday
30-03-2024,01-03-2024,March,Weekend
31-03-2024,01-03-2024,March,Weekend
01-04-2024,01-04-2024,April,Weekday
02-04-2024,01-04-2024,April,Weekday
03-04-2024,01-04-2024,April,Weekday
04-04-2024,01-04-2024,April,Weekday
05-04-2024,01-04-2024,April,Weekday
06-04-2024,01-04-2024,April,Weekend
07-04-2024,01-04-2024,April,Weekend
08-04-2024,01-04-2024,April,Weekday
09-04-2024,01-04-2024,April,Weekday
10-04-2024,01-04-2024,April,Weekday
11-04-2024,01-04-2024,April,Weekday
12-04-2024,01-04-2024,April,Weekday
13-04-2024,01-04-2024,April,Weekend
14-04-2024,01-04-2024,April,Weekend
15-04-2024,01-04-2024,April,Weekday
16-04-2024,01-04-2024,April,Weekday
17-04-2024,01-04-2024,April,Weekday
18-04-2024,01-04-2024,April,Weekday
19-04-2024,01-04-2024,April,Weekday
20-04-2024,01-04-2024,April,Weekend
21-04-2024,01-04-2024,April,Weekend
22-04-2024,01-04-2024,April,Weekday
23-04-2024,01-04-2024,April,Weekday
24-04-2024,01-04-2024,April,Weekday
25-04-2024,01-04-2024,April,Weekday
26-04-2024,01-04-2024,April,Weekday
27-04-2024,01-04-2024,April,Weekend
28-04-2024,01-04-2024,April,Weekend
29-04-2024,01-04-2024,April,Weekday
30-04-2024,01-04-2024,April,Weekday
01-05-2024,01-05-2024,May,Weekday
02-05-2024,01-05-2024,May,Weekday
03-05-2024,01-05-2024,May,Weekday
04-05-2024,01-05-2024,May,Weekend
05-05-2024,01-05-2024,May,Weekend
06-05-2024,01-05-2024,May,Weekday
07-05-2024,01-05-2024,May,Weekday
08-05-2024,01-05-2024,May,Weekday
09-05-2024,01-05-2024,May,Weekday
10-05-2024,01-05-2024,May,Weekday
11-05-2024,01-05-2024,May,Weekend
12-05-2024,01-05-2024,May,Weekend
13-05-2024,01-05-2024,May,Weekday
14-05-2024,01-05-2024,May,Weekday
15-05-2024,01-05-2024,May,Weekday
16-05-2024,01-05-2024,May,Weekday
17-05-2024,01-05-2024,May,Weekday
18-05-2024,01-05-2024,May,Weekend
19-05-2024,01-05-2024,May,Weekend
20-05-2024,01-05-2024,May,Weekday
21-05-2024,01-05-2024,May,Weekday
22-05-2024,01-05-2024,May,Weekday
23-05-2024,01-05-2024,May,Weekday
24-05-2024,01-05-2024,May,Weekday
25-05-2024,01-05-2024,May,Weekend
26-05-2024,01-05-2024,May,Weekend
27-05-2024,01-05-2024,May,Weekday
28-05-2024,01-05-2024,May,Weekday
29-05-2024,01-05-2024,May,Weekday
30-05-2024,01-05-2024,May,Weekday
31-05-2024,01-05-2024,May,Weekday
01-06-2024,01-06-2024,June,Weekend
02-06-2024,01-06-2024,June,Weekend
03-06-2024,01-06-2024,June,Weekday
04-06-2024,01-06-2024,June,Weekday
05-06-2024,01-06-2024,June,Weekday
06-06-2024,01-06-2024,June,Weekday
07-06-2024,01-06-2024,June,Weekday
08-06-2024,01-06-2024,June,Weekend
09-06-2024,01-06-2024,June,Weekend
10-06-2024,01-06-2024,June,Weekday
11-06-2024,01-06-2024,June,Weekday
12-06-2024,01-06-2024,June,Weekday
13-06-2024,01-06-2024,June,Weekday
14-06-2024,01-06-2024,June,Weekday
15-06-2024,01-06-2024,June,Weekend
16-06-2024,01-06-2024,June,Weekend
17-06-2024,01-06-2024,June,Weekday
18-06-2024,01-06-2024,June,Weekday
19-06-2024,01-06-2024,June,Weekday
20-06-2024,01-06-2024,June,Weekday
21-06-2024,01-06-2024,June,Weekday
22-06-2024,01-06-2024,June,Weekend
23-06-2024,01-06-2024,June,Weekend
24-06-2024,01-06-2024,June,Weekday
25-06-2024,01-06-2024,June,Weekday
26-06-2024,01-06-2024,June,Weekday
27-06-2024,01-06-2024,June,Weekday
28-06-2024,01-06-2024,June,Weekday
29-06-2024,01-06-2024,June,Weekend
30-06-2024,01-06-2024,June,Weekend
